B-002-001-001;What is a good way to make contact on a repeater?;Say the call sign of the station you want to contact, then your call sign;Say the other operator's name, then your call sign three times;Say, "Breaker, breaker,";Say the call sign of the station you want to contact three times;Quelle est la bonne façon de faire un contact sur un répéteur?;Dire l'indicatif de la station que vous voulez rejoindre, puis donner votre indicatif;Dire le nom du radioamateur que vous appelez, puis dire votre indicatif à trois reprises;Dire "breaker, breaker";Dire à trois reprises l'indicatif de la station que vous voulez rejoindre
B-002-006-011;What is the meaning of "Your signal report is 1 1"?;Your signal is unreadable, and barely perceptible;Your signal is 11 dB over S9;Your signal is first class in readability and first class in strength;Your signal is very readable and very strong;Que signifie "Votre rapport de signal est 1 1"?;Votre signal n'est pas lisible et est à peine perceptible;Votre signal est 11 dB au-dessus de S9;Votre signal est lisible de première classe et la force est aussi de première classe;Votre signal est très lisible et très fort
B-002-007-001;What is the meaning of the Q signal "QRS"?;Send more slowly;Interference from static;Send "RST" report;Radio station location is:;Quelle est la signification de "QRS"?;Émettez plus lentement;Brouillage par parasites;Envoyer un rapport "RST";L'emplacement de la station est :
B-002-007-002;What is one meaning of the Q signal "QTH"?;My location is;Stop sending;My name is;Time here is;Quelle est la signification de "QTH"?;Ma position est ...;Cessez d'émettre;Mon nom est ...;Ici, il est ... heure
B-002-007-003;What is the proper Q signal to use to see if a frequency is in use before transmitting on CW?;QRL?;QRV?;QRU?;QRZ?;Quel code Q doit-on employer pour vérifier si la fréquence est occupée avant d'émettre en code Morse?;QRL?;QRV?;QRU?;QRZ?
B-002-007-004;What is one meaning of the Q signal "QSY"?;Change frequency;Use more power;Send faster;Send more slowly;Quelle est la signification de "QSY"?;Changez de fréquence;Utilisez plus de puissance;Envoyez plus rapidement;Envoyez plus lentement
B-002-007-005;What is the meaning of the Q signal "QSB"?;Your signal is fading;I am busy;I have no message;A contact is confirmed;Quelle est la signification du code "QSB"?;Votre signal s'évanouit;Je suis occupé;Je n'ai rien pour vous;Un contact est confirmé
B-002-007-006;What is the proper Q signal to ask who is calling you on CW?;QRZ?;QSL?;QRL?;QRT?;Quel est le bon code Q à utiliser si vous voulez savoir qui vous appelle en code Morse?;QRZ?;QSL?;QRL?;QRT?
B-002-007-007;The signal "QRM" signifies:;I am being interfered with;I am troubled by static;your signals are fading;is my transmission being interfered with;Le code "QRM" signifie :;je suis brouillé;je suis gêné par des parasites;votre signal s'évanouit;mon émission est-elle brouillée
B-002-007-008;The signal "QRN" means:;are you troubled by static;I am busy;Is my transmission being interfered with;I am being interfered with;Le code "QRN" signifie :;êtes-vous gêné par des parasites;je suis occupé;Mon émission est-elle brouillée;je suis brouillé
B-002-007-009;The "Q signal" indicating that you want the other station to send slower is:;QRS;QRM;QRL;QRN;Le code Q indiquant que vous voulez que l'autre station transmette plus lentement est :;QRS;QRM;QRL;QRN
B-002-007-010;Who is calling me is denoted by the "Q signal":;QRZ?;QRK?;QRP?;QRM?;Le code Q qui signifie "Par qui suis-je appelé?" est :;QRZ?;QRK?;QRP?;QRM?
B-002-007-011;The "Q signal" which signifies "I will call you again" is:;QRX;QRZ;QRS;QRT;Indiquez le code Q qui signifie "Je vous rappellerai" :;QRX;QRZ;QRS;QRT
B-002-008-001;When may you use your amateur station to transmit an "SOS" or "MAYDAY"?;In a life-threatening distress situation;Never;Only at specific times (at 15 and 30 minutes after the hour);Only in case of a severe weather watch;Quand pouvez-vous émettre les mots "SOS" ou "MAYDAY"?;Dans les cas de détresse reliés à la vie d'une personne;Jamais;Seulement à des heures spécifiques, soit à 15 et à 30 minutes après l'heure;Seulement dans les cas de veille météorologique
B-002-008-002;If you are in contact with another station and you hear an emergency call for help on your frequency, what should you do?;Immediately stop your contact and acknowledge the emergency call;Tell the calling station that the frequency is in use;Direct the calling station to the nearest emergency net frequency;Call your local police station and inform them of the emergency call;Durant une communication avec un autre radioamateur, vous entendez un appel de détresse. Que devriez-vous faire?;Interrompre immédiatement votre communication, et accuser réception de l'appel de détresse;Aviser la station qui appelle que la fréquence est occupée;Aviser la station qui appelle de se présenter sur la fréquence du réseau d'urgence la plus proche;Communiquer les détails à la Sûreté (police) locale
B-002-008-003;What is the proper distress call to use when operating phone?;Say "MAYDAY" several times;Say "SOS" several times;Say "EMERGENCY" several times;Say "HELP" several times;Quelle est la façon d'émettre un signal de détresse en phonie?;Répétez "MAYDAY" à plusieurs reprises;Répétez "SOS" à plusieurs reprises;Dites "Urgence" à plusieurs reprises;Dites "Au secours" à plusieurs reprises
B-002-008-004;What is the proper distress call to use when operating CW?;SOS;CQD;QRRR;MAYDAY;Qu'elle est la façon d'émettre un signal de détresse en code Morse?;SOS;CQD;QRRR;MAYDAY
B-002-008-005;What is the proper way to interrupt a repeater conversation to signal a distress call?;Break-in immediately following the transmission of the active party and state your situation and call sign;Say "EMERGENCY" three times;Say "SOS," then your call sign;Say "HELP" as many times as it takes to get someone to answer;Quelle est la façon d'interrompre une conversation sur un répéteur pour envoyer un message de détresse?;Signalez votre situation et votre indicatif durant une pause entre deux transmissions;Dites "Urgence" trois fois;Dites "SOS", puis votre indicatif d'appel;Dites "Au secours" autant de fois qu'il faut pour attirer l'attention
B-002-008-006;Why is it a good idea to have a way to operate your amateur station without using commercial AC power lines?;So you may provide communications in an emergency;So you will comply with rules;So you may operate in contests where AC power is not allowed;So you may use your station while mobile;Pourquoi est-il très utile de pouvoir opérer sa station sans avoir à dépendre de l'alimentation domestique en courant alternatif?;Pour être en mesure d'opérer dans certaines situations d'urgence;Afin de respecter les règlements;Pour être capable de participer à des concours où il est interdit d'utiliser le courant alternatif;Pour être en mesure d'utiliser sa station comme station mobile
B-002-008-007;What is the most important accessory to have for a hand-held radio in an emergency?;Several sets of charged batteries;An extra antenna;A portable amplifier;A microphone headset for hands-free operation;Quel est l'accessoire le plus important à avoir sous la main lorsqu'on utilise un radio portatif en situation d'urgence?;Quelques piles rechargées;Une antenne supplémentaire;Un amplificateur portatif;Un casque-microphone afin de laisser les mains libres
B-002-008-008;Which type of antenna would be a good choice as part of a portable HF amateur station that could be set up in case of an emergency?;A dipole;A parabolic dish;A three-element Yagi;A three-element quad;Quel genre d'antenne serait pratique en cas d'urgence pour l'opération d'une station HF portative?;Une antenne dipôle;Une antenne parabolique;Une antenne Yagi à 3 éléments;Une antenne "quad" à 3 éléments
B-002-008-009;If you are communicating with another amateur station and hear a station in distress break in, what should you do?;Acknowledge the station in distress and determine its location and what assistance may be needed;Continue your communication because you were on frequency first;Change to a different frequency so the station in distress may have a clear channel to call for assistance;Immediately cease all transmissions because stations in distress have emergency rights to the frequency;Si vous êtes en communication avec une autre station et que vous entendez une station émettre un signal de détresse, que devriez-vous faire?;Aviser la station en détresse que vous avez reçu son message, obtenir ses coordonnées et fournir toute l'assistance possible;Continuer votre conversation puisque vous utilisiez déjà la fréquence;Changer de fréquence de sorte que la station en détresse aura la fréquence libre pour demander de l'aide;Cesser immédiatement toute émission, car une station en détresse a la priorité pour utiliser une fréquence
B-002-008-010;In order of priority, a distress message comes before:;an emergency message;no other messages;a government priority message;a safety message;En ordre de priorité, un message de détresse vient immédiatement avant :;un message d'urgence;aucun autre message;un message de priorité d'État;un message de sécurité
B-002-008-011;If you hear distress traffic and are unable to render direct assistance you should:;contact authorities and then maintain watch until you are certain that assistance will be forthcoming;enter the details in the log book and take no further action;take no action;tell all other stations to cease transmitting;Si vous entendez un message de détresse et ne pouvez porter assistance directement, vous devriez :;contacter les autorités, puis rester à l'écoute jusqu'à ce que vous soyez assuré que quelqu'un apportera de l'aide;noter les détails dans le journal radio et ne rien faire d'autre;ne rien faire;demander à toutes les autres stations de cesser d'émettre
B-002-009-001;What is a "QSL card"?;A written proof of communication between two amateurs;A Notice of Violation from Innovation, Science and Economic Development Canada;A postcard reminding you when your certificate will expire;A letter or postcard from an amateur pen pal;Qu'est-ce qu'une "carte QSL"?;Une preuve écrite d'une communication entre deux stations de radioamateur;Un avertissement d'Innovation, Sciences et Développement économique Canada;Une carte postale vous avisant de la date d'expiration de votre certificat;Une lettre ou une carte d'un correspondant radioamateur
B-002-009-002;What is an azimuthal map?;A map projection centered on a particular location, used to determine the shortest path between points on the Earth's surface;A map projection centered on the North Pole;A map that shows the angle at which an amateur satellite crosses the equator;A map that shows the number of degrees longitude that an amateur satellite appears to move westward at the equator;Qu'est-ce qu'une carte géographique azimutale?;Une carte établie en fonction d'un site précis qui en devient le centre, utilisée pour trouver le plus court chemin entre deux points du globe;Une carte établie en fonction du pôle Nord qui en devient le centre;Une carte indiquant à quel angle un satellite amateur traverse l'équateur;Une carte montrant, en degrés de longitude, la dérive apparente d'un satellite radioamateur au-dessus de l'équateur
B-002-009-003;What is the most useful type of map to use when orienting a directional HF antenna toward a distant station?;Azimuthal;Mercator;Polar projection;Topographical;Quel genre de carte est le plus utile pour orienter une antenne directionnelle HF afin de rejoindre une station lointaine?;Une carte azimutale;Une carte de projection de Mercator;Une carte de projection polaire;Une carte topographique
B-002-009-004;A directional antenna pointed in the long-path direction to another station is generally oriented how many degrees from its short-path heading?;180 degrees;45 degrees;90 degrees;270 degrees;Avec une antenne directionnelle, combien de degrés séparent généralement le trajet long ("long path") du trajet court ("short path") vers une station distante?;180 degrés;45 degrés;90 degrés;270 degrés
B-002-009-005;What method is used by radio amateurs to provide written proof of communication between two amateur stations?;A signed post card listing contact date, time, frequency, mode and power, called a "QSL card";A two-page letter containing a photograph of the operator;A radiogram sent over the CW traffic net;A packet message;Quelle méthode emploient les radioamateurs pour fournir une preuve écrite de communications établies entre deux stations du service radioamateur?;Une carte postale signée, appelée "carte QSL", où sont indiqués la date, l'heure, la fréquence, le mode et la puissance;Une lettre de deux pages contenant la photo de l'opérateur;Un radiogramme envoyé lors d'un réseau en code Morse;Un message relayé par paquets
B-002-009-006;You hear other local stations talking to radio amateurs in New Zealand but you don't hear those stations with your beam aimed on the normal compass bearing to New Zealand. What should you try?;Point your beam 180 degrees away from that bearing and listen for the stations arriving on the "long-path";Point your antenna toward Newington, Connecticut;Point your antenna to the north;Point your antenna to the south;Vous entendez d'autres stations locales qui parlent à des radioamateurs en Nouvelle-Zélande, mais vous n'entendez pas ces stations quand votre antenne directionnelle est normalement orientée vers la Nouvelle-Zélande. Que devriez-vous essayer de faire?;Pointer votre antenne directionnelle à 180 degrés de cette orientation et écouter les signaux qui arrivent par le trajet long ("long path");Pointer votre antenne vers Newington, Connecticut;Pointer votre antenne vers le nord;Pointer votre antenne vers le sud
B-002-009-007;Which statement about recording all contacts and unanswered "CQ calls" in a station logbook or computer log is not correct?;A logbook is required by Innovation, Science and Economic Development Canada;A log is important for recording contacts for operating awards;A well-kept log preserves your fondest amateur radio memories for years;A log is important for handling neighbour interference complaints;Parmi les énoncés suivants, lequel est faux en ce qui concerne l'inscription, dans un journal de bord de la station ou dans un fichier d'ordinateur, de tous les contacts et des appels "CQ" sans réponse?;Un journal de bord est requis par Innovation, Sciences et Développement économique Canada;Un journal de bord est important pour enregistrer les contacts admissibles à des certificats;Un journal de bord bien tenu garde, pour des années, vos meilleurs souvenirs de radioamateur;Un journal de bord est important pour régler les plaintes de brouillage venant des voisins
B-002-009-008;Why would it be useful to have an azimuthal world map centred on the location of your station?;Because it shows the compass bearing from your station to any place on Earth, for antenna planning and pointing;Because it looks impressive;Because it shows the angle at which an amateur satellite crosses the equator;Because it shows the number of degrees longitude that an amateur satellite moves west;Pourquoi serait-il pratique d'avoir une carte mondiale azimutale centrée sur l'emplacement de votre station?;Elle indique l'orientation à donner à votre antenne vers n'importe quel endroit du globe;Cela paraît impressionnant;Cela montre l'angle selon lequel un satellite du service radioamateur traverse l'équateur;Cela montre le nombre de degrés de longitude d'un satellite amateur lorsqu'il se dirige vers l'ouest
B-002-009-009;Station logs and confirmation (QSL) cards are always kept in UTC (Universal Time Coordinated). Where is that time based?;Greenwich, England;Geneva, Switzerland;Ottawa, Canada;Newington, Connecticut;Dans le journal de bord et sur les "cartes QSL", la date et l'heure doivent être indiquées en UTC (temps universel coordonné). Où est situé le méridien à partir duquel il faut mesurer ce temps?;Greenwich, Angleterre;Genève, Suisse;Ottawa, Canada;Newington, Connecticut
B-002-009-010;When referring to contacts in the station log, what do the letters UTC mean?;Universal Time Coordinated (formerly Greenwich Mean Time - GMT);Universal Time Constant;Unlisted Telephone Call;Unlimited Time Capsule;Que signifie le sigle "UTC" employé dans le journal de bord vis-à-vis des contacts radio?;Universal Time Coordinated (temps universel coordonné) anciennement "Greenwich Mean Time - GMT";Universal Time Constant (temps universel constant);Unlisted Telephone Call (appel téléphonique non publié);Unlimited Time Capsule (capsule de temps illimité)
B-002-009-011;To set your station clock accurately to UTC, you could receive the most accurate time off the air from _______?;CHU, WWV or WWVH;A non-directional beacon station;Your local television station;Your local radio station;Pour ajuster avec précision l'horloge de votre station selon le temps universel coordonné (UTC), vous pouvez syntoniser le signal horaire _____.;de CHU, WWV ou WWVH;d'une balise non directionnelle;de votre station locale de télévision;de votre poste radio local
